macaulay_photo_catalog_id,macaulay_url,order,family,ebird_species_group,sci_name,common_name,species_category,ebird_species_code,ebird_taxon_order,ebird_checklist_id,species_range,extinct,extinct_year,sex_bird_photo,age_bird_photo,macaulay_photographer_userId,photo_latitude,photo_longitude,macaulay_rating_count_may2021,macaulay_photo_user_rating_may21,photo_width_px,photo_height_px,source,plumageparts_split,plumageparts_mask_filename,plumageparts_segmentation_width_px,plumageparts_segmentation_height_px
701080,https://macaulaylibrary.org/asset/701080,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,Tockus kempi,Western Red-billed Hornbill,species,wrbhor2,9156,,Senegambia to (Mali) inner Niger delta,,,,,USER224551,14.4493,-17.0123,5.0,4.2,800.0,600.0,ml,val,Tockus_kempi_Unknown_701080.png,800,600
702846,https://macaulaylibrary.org/asset/702846,Strigiformes,Strigidae (Owls),Owls,Megascops choliba,Tropical Screech-Owl,species,trsowl,8304,,,,,,,USER624204,-16.2536,-56.6259,12.0,5.0,660.0,1024.0,ml,test,Megascops_choliba_Unknown_702846.png,660,1024
703160,https://macaulaylibrary.org/asset/703160,Passeriformes,Thamnophilidae (Typical Antbirds),Antbirds,Cercomacroides serva,Black Antbird,species,blaant2,13219,,S Colombia e of Andes to nw Bolivia and sw Amazonian Brazil,,,Female,adult,USER1142966,-3.8074,-60.3452,4.0,4.0,800.0,563.0,ml,train,Cercomacroides_serva_Female_703160.png,800,563
703175,https://macaulaylibrary.org/asset/703175,Passeriformes,Pipridae (Manakins),Manakins,Manacus manacus,White-bearded Manakin,species,whbman1,15016,,,,,Male,adult,USER1142966,-2.8457,-60.0451,5.0,5.0,789.0,617.0,ml,train,Manacus_manacus_Male_703175.png,789,617
703211,https://macaulaylibrary.org/asset/703211,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos,Hylophilus pectoralis,Ashy-headed Greenlet,species,ashgre1,18244,,Guianas and e Venezuela to n Bolivia and Amazonian Brazil,,,,,USER1142966,-2.6512,-56.7307,4.0,4.0,481.0,640.0,ml,test,Hylophilus_pectoralis_Unknown_703211.png,481,640
703320,https://macaulaylibrary.org/asset/703320,Piciformes,Picidae (Woodpeckers),Woodpeckers,Dryobates cassini,Golden-collared Woodpecker,species,gocwoo2,10874,,"E and se Venezuela, the Guianas and ne Brazil (n of Amazon)",,,,,USER1142966,-2.6468,-60.1419,5.0,3.8,605.0,800.0,ml,test,Dryobates_cassini_Unknown_703320.png,605,800
703351,https://macaulaylibrary.org/asset/703351,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",Euphonia plumbea,Plumbeous Euphonia,species,plueup1,30769,,"S Venezuela to Guyana, Suriname and n Amazonian Brazil",,,,,USER1142966,-2.9074,-60.1721,4.0,4.0,1000.0,693.0,ml,train,Euphonia_plumbea_Unknown_703351.png,1000,693
703352,https://macaulaylibrary.org/asset/703352,Passeriformes,Thamnophilidae (Typical Antbirds),Antbirds,Sclateria naevia,Silvered Antbird,species,silant1,13285,,,,,,,USER1142966,-2.5943,-56.7241,4.0,4.0,1000.0,768.0,ml,test,Sclateria_naevia_Unknown_703352.png,1000,768
703479,https://macaulaylibrary.org/asset/703479,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)","Chachalacas, Guans, and Curassows",Crax alector,Black Curassow,species,blacur1,852,,,,,,,USER1142966,-2.5864,-60.1282,6.0,4.333333333,1000.0,697.0,ml,train,Crax_alector_Unknown_703479.png,1000,697
703514,https://macaulaylibrary.org/asset/703514,Caprimulgiformes,Trochilidae (Hummingbirds),Hummingbirds,Myrtis fanny,Purple-collared Woodstar,species,pucwoo1,4622,,,,,,,USER681648,-14.1143,-75.6981,5.0,4.0,2061.0,1376.0,ml,train,Myrtis_fanny_Unknown_703514.png,1200,801
